SEQENCE ID                     TM SP PREDICTION
PF3D7_1012800.1-p1              2  0 i138-160o625-646i
PF3D7_1013200.1-p1              0  0 i
PF3D7_1013300.1-p1              2  0 i9-25o595-616i
PF3D7_1013400.1-p1              0  0 i
PF3D7_1013600.1-p1              2  0 o1142-1163i1727-1747o
PF3D7_1013800.1-p1              1  0 o464-482i
PF3D7_1014500.1-p1              5  0 o470-488i509-528o574-597i1189-1209o1229-1251i
PF3D7_1016000.1-p1              0  0 i
PF3D7_1016100.1-p1              3  0 o6-33i54-74o209-231i
PF3D7_1017600.1-p1              0  0 i
PF3D7_1017700.1-p1              0  0 i
PF3D7_1017800.1-p1              3  0 o884-901i974-992o1004-1023i
PF3D7_1018100.1-p1              0  0 i
PF3D7_1018400.1-p1              1  0 o152-171i
PF3D7_1018700.1-p1              0  0 i
PF3D7_1018800.1-p1              1  0 o684-707i
PF3D7_1018900.1-p1              0  0 i
PF3D7_1019100.1-p1              0  0 i
PF3D7_1019200.1-p1              0  0 i
PF3D7_1019600.1-p1              0  0 i
PF3D7_1019700.1-p1              0  0 i
PF3D7_1020200.1-p1              0  0 i
PF3D7_1021000.1-p1              1  0 o12-31i
PF3D7_1021100.1-p1              3  0 o183-201i316-338o1608-1626i
PF3D7_1021200.1-p1              0  0 i
PF3D7_1023000.1-p1              5  0 i38-58o78-98i257-279o299-324i382-408o
PF3D7_1023300.1-p1              1  0 o20-40i
PF3D7_1023500.1-p1              2  0 i36-60o66-91i
PF3D7_1023600.1-p1              0  0 i
PF3D7_1023700.1-p1              1  0 o708-728i
PF3D7_1023800.1-p1              0  0 i
PF3D7_1024000.1-p1              0  Y n5-14c22/23o
PF3D7_1024400.1-p1              1  0 o238-256i
PF3D7_1024500.1-p1              1  0 i130-151o
PF3D7_1024700.1-p1              0  0 i
PF3D7_1024900.1-p1              4  0 o941-960i1171-1190o1210-1234i1269-1289o
PF3D7_1025300.1-p1              0  Y n2-10c15/16o
PF3D7_1025700.1-p1              0  0 i
PF3D7_1025900.1-p1              0  0 i
PF3D7_1026000.1-p1              0  0 i
PF3D7_1026100.1-p1              0  0 i
PF3D7_1026200.1-p1              0  0 i
PF3D7_1026300.1-p1              0  0 i
PF3D7_1026500.1-p1              0  0 i
PF3D7_1026600.1-p1              0  0 i
PF3D7_1027000.1-p1              0  0 i
PF3D7_1027500.1-p1              0  0 i
PF3D7_1028600.1-p1              0  0 i
PF3D7_1028800.1-p1              1  0 o74-98i
PF3D7_1029100.1-p1              0  0 i
PF3D7_1029100.2-p1              0  0 i
PF3D7_1029300.1-p1              0  0 i
PF3D7_1029500.1-p1              1  0 o28-50i
PF3D7_1029700.1-p1              3  Y n10-20c25/26o41-58i159-181o642-663i
PF3D7_1030300.1-p1              0  0 i
PF3D7_1030400.1-p1              0  0 i
PF3D7_1031100.1-p1              0  0 i
PF3D7_1031800.1-p1              0  0 i
PF3D7_1031900.1-p1              1  Y n6-16c20/21o546-567i
PF3D7_1032200.1-p1              0  0 i
PF3D7_1032300.1-p1              0  0 i
PF3D7_1032600.1-p1              1  0 i320-337o
PF3D7_1032700.1-p1              0  0 i
PF3D7_1033300.1-p1              0  0 i
PF3D7_1034100.1-p1              0  Y n4-15c20/21o
PF3D7_1034800.1-p1              0  0 i
PF3D7_1036500.1-p1              0  0 i
PF3D7_1036600.1-p1              0  0 i
PF3D7_1036900.1-p1              0  0 i
PF3D7_1037200.1-p1              0  0 i
PF3D7_1037400.1-p1              3  0 i333-356o385-405i788-809o
PF3D7_1037900.1-p1              1  0 i105-136o
PF3D7_1038200.1-p1              0  0 i
PF3D7_1038300.1-p1              0  0 i
PF3D7_1103000.1-p1              1  0 o41-63i
PF3D7_1104300.1-p1              0  0 i
PF3D7_1105300.1-p1              1  Y n7-17c21/22o681-703i
PF3D7_1106200.1-p1              0  Y n2-13c17/18o
PF3D7_1106400.1-p1              0  0 i
PF3D7_1106500.1-p1              5  Y n3-14c22/23o435-453i473-492o504-526i648-671o1495-1515i
PF3D7_1106900.1-p1              0  0 i
PF3D7_1108100.1-p1              0  0 i
PF3D7_1108800.1-p1              0  0 i
PF3D7_1109100.1-p1              1  0 i155-176o
PF3D7_1109200.1-p1              0  0 i
PF3D7_1110000.1-p1              1  0 o12-30i
PF3D7_1110800.1-p1              0  0 i
PF3D7_1111400.1-p1              0  0 i
PF3D7_1111700.1-p1              0  0 i
PF3D7_1112000.1-p1              1  Y n8-19c23/24o33-52i
PF3D7_1112300.1-p1              0  0 i
PF3D7_1112700.1-p1              1  0 i160-179o
PF3D7_1112800.1-p1              1  0 i269-289o
PF3D7_1112900.1-p1              0  0 i
PF3D7_1113000.1-p1              6  0 o1422-1441i1835-1854o2447-2469i3145-3164o5839-5860i5867-5886o
PF3D7_1113200.1-p1              0  0 i
PF3D7_1113600.1-p1              0  0 i
PF3D7_1114500.1-p1              0  0 i
PF3D7_1114600.1-p1              0  0 i
PF3D7_1115000.1-p1              0  0 i
PF3D7_1115100.1-p1              0  0 i
PF3D7_1115800.1-p1              0  0 i
PF3D7_1116900.1-p1              0  0 i
PF3D7_1117200.1-p1              1  0 o1482-1500i
PF3D7_1117300.1-p1              3  0 o6-24i36-52o58-78i
PF3D7_1117400.1-p1              1  0 o365-387i
PF3D7_1117900.1-p1              0  0 i
PF3D7_1118000.1-p1              0  0 i
PF3D7_1118900.1-p1              0  Y n7-18c23/24o
PF3D7_1119200.1-p1              0  0 i
PF3D7_1119700.1-p1              0  0 i
PF3D7_1120000.1-p1              0  0 i
PF3D7_1120200.1-p1              2  0 i7-29o49-69i
PF3D7_1120700.1-p1              0  0 i
PF3D7_1120800.1-p1              2  0 i12-32o44-63i
PF3D7_1121100.1-p1              0  0 i
PF3D7_1121200.1-p1              0  0 i
PF3D7_1121500.1-p1              2  0 o6-23i268-285o
PF3D7_1122000.1-p1              0  0 i
PF3D7_1122300.1-p1              1  Y n8-19c23/24o335-355i
PF3D7_1122400.1-p1              0  0 i
PF3D7_1122600.1-p1              0  0 i
PF3D7_1122700.1-p1              3  0 o6-23i118-136o182-202i
PF3D7_1123000.1-p1              0  0 i
PF3D7_1125000.1-p1              1  0 o6-31i
PF3D7_1126700.1-p1              0  0 i
PF3D7_1127200.1-p1              0  0 i
PF3D7_1127400.1-p1              0  Y n11-21c26/27o
PF3D7_1127700.1-p1              1  0 o414-434i
PF3D7_1127900.1-p1              0  0 i
PF3D7_1128000.1-p1              0  0 i
PF3D7_1128000.2-p1              0  0 i
PF3D7_1128900.1-p1              0  0 i
PF3D7_1129300.1-p1              0  0 i
PF3D7_1129700.1-p1              1  0 i159-178o
PF3D7_1130900.1-p1              8  0 i794-814o834-850i1052-1070o1090-1108i1180-1202o1208-1226i1238-1255o1261-1277i
PF3D7_1131200.1-p1              0  0 i
PF3D7_1131300.1-p1              1  0 o15-33i
PF3D7_1131400.1-p1              3  0 o1403-1424i1445-1461o1493-1510i
PF3D7_1131500.1-p1              0  0 i
PF3D7_1131700.1-p1              0  0 i
PF3D7_1131900.1-p1              3  0 o6-25i168-185o644-670i
PF3D7_1133000.1-p1              0  Y n2-20c24/25o
PF3D7_1133100.1-p1              4  0 i438-456o487-506i842-860o866-886i
PF3D7_1133200.1-p1              0  0 i
PF3D7_1133500.1-p1              0  0 i
PF3D7_1133600.1-p1              2  0 o490-513i522-542o
PF3D7_1133900.1-p1              0  Y n3-14c19/20o
PF3D7_1134200.1-p1              3  0 i185-208o720-744i948-967o
PF3D7_1134900.1-p1              0  0 i
PF3D7_1135700.1-p1              0  0 i
PF3D7_1135800.1-p1              0  0 i
PF3D7_1136000.1-p1              0  0 i
PF3D7_1136100.1-p1              0  Y n4-9c13/14o
PF3D7_1137600.1-p1              0  0 i
PF3D7_1137900.1-p1              0  0 i
PF3D7_1138000.1-p1              0  0 i
PF3D7_1138200.1-p1              4  0 i28-49o64-83i95-123o143-171i
PF3D7_1138300.1-p1              4  0 i12-32o52-74i86-109o115-132i
PF3D7_1138350.1-p1              0  0 i
PF3D7_1139600.1-p1              0  0 i
PF3D7_1139800.1-p1              2  0 o1001-1017i1038-1054o
PF3D7_1140200.1-p1              0  0 i
PF3D7_1140400.1-p1              0  0 i
PF3D7_1140600.1-p1              0  0 i
PF3D7_1141000.1-p1              0  0 i
PF3D7_1141100.1-p1              0  0 i
PF3D7_1141500.1-p1              0  0 i
PF3D7_1142900.1-p1              0  0 i
PF3D7_1143600.1-p1              0  0 i
PF3D7_1143700.1-p1              7  0 i102-123o129-147i168-187o207-223i369-386o576-592i628-646o
PF3D7_1144200.1-p1              0  0 i
PF3D7_1144400.1-p1              0  0 i
PF3D7_1144800.1-p1              0  0 i
PF3D7_1145000.1-p1              0  0 i
PF3D7_1145800.1-p1              0  0 i
PF3D7_1145900.1-p1              0  0 i
PF3D7_1146200.1-p1              1  0 o143-164i
PF3D7_1146300.1-p1              1  0 o58-78i
PF3D7_1147300.1-p1              0  0 i
PF3D7_1147600.1-p1              0  0 i
PF3D7_1201900.1-p1              0  0 i
PF3D7_1203100.1-p1              0  0 i
PF3D7_1204000.1-p1              0  0 i
PF3D7_1204100.1-p1              0  0 i
PF3D7_1204200.1-p1              0  0 i
PF3D7_1204700.1-p1              0  0 i
PF3D7_1204900.1-p1              2  0 o13-34i88-107o
PF3D7_1205000.1-p1              2  0 o487-508i520-538o
PF3D7_1205300.1-p1              0  Y n7-15c23/24o
PF3D7_1205900.1-p1              4  0 i750-776o788-813i902-922o961-981i
PF3D7_1206300.1-p1              0  0 i
PF3D7_1206800.1-p1              3  0 o193-213i442-459o507-532i
PF3D7_1206900.1-p1              0  0 i
PF3D7_1207000.1-p1              0  0 i
PF3D7_1207400.1-p1              0  0 i
PF3D7_1207800.1-p1              0  0 i
PF3D7_1207900.1-p1              0  0 i
PF3D7_1208100.1-p1             10  0 i578-594o1112-1133i1465-1482o1538-1555i1700-1721o2244-2260i2407-2428o4056-4073i4122-4139o4297-4318i
PF3D7_1208500.1-p1              1  0 o1684-1705i
PF3D7_1208700.1-p1              0  0 i
PF3D7_1209100.1-p1              0  0 i
PF3D7_1209700.1-p1              2  0 i44-62o74-94i
PF3D7_1210300.1-p1              0  0 i
PF3D7_1210500.1-p1              0  0 i
PF3D7_1210700.1-p1              1  0 i16-33o
PF3D7_1211200.1-p1              2  0 o824-843i1161-1180o
PF3D7_1212200.1-p1              0  0 i
PF3D7_1213300.1-p1              0  0 i
PF3D7_1214000.1-p1              1  0 i21-42o
PF3D7_1214500.1-p1              1  0 i7-24o
PF3D7_1214700.1-p1              0  0 i
PF3D7_1214800.1-p1              0  Y n3-11c15/16o
PF3D7_1214900.1-p1              5  0 i22-44o56-78i90-110o122-145i166-187o
PF3D7_1215400.1-p1              3  0 i160-179o185-205i591-608o
PF3D7_1215500.1-p1              0  0 i
PF3D7_1215600.1-p1              0  0 i
PF3D7_1215700.1-p1              0  0 i
PF3D7_1216100.1-p1              5  0 i129-148o160-182i202-222o228-248i260-283o
PF3D7_1217000.1-p1              0  0 i
PF3D7_1217400.1-p1              0  0 i
PF3D7_1217500.1-p1              0  0 i
PF3D7_1217700.1-p1              0  0 i
PF3D7_1218100.1-p1              2  0 i12-32o424-445i
PF3D7_1218700.1-p1              0  0 i
PF3D7_1219800.1-p1              1  0 o25-50i
PF3D7_1220600.1-p1              5  0 o6-22i197-216o222-238i250-276o288-307i
PF3D7_1220700.1-p1              0  0 i
PF3D7_1221100.1-p1              0  Y n4-14c19/20o
PF3D7_1221200.1-p1              2  0 i33-66o72-93i
PF3D7_1221800.1-p1              0  Y n2-12c16/17o
PF3D7_1222100.1-p1              1  0 i39-57o
PF3D7_1222800.1-p1              0  0 i
PF3D7_1222900.1-p1              0  0 i
PF3D7_1223000.1-p1              1  0 o20-39i
PF3D7_1223500.1-p1              6  0 o1677-1694i2078-2096o2102-2121i2174-2194o2302-2318i3359-3381o
PF3D7_1223600.1-p1              3  0 o652-670i1270-1296o1316-1333i
PF3D7_1224100.1-p1              0  0 i
PF3D7_1224700.1-p1              0  0 i
PF3D7_1224800.1-p1              0  0 i
PF3D7_1225000.1-p1              5  0 o300-326i338-360o1329-1347i1359-1376o1382-1398i
PF3D7_1225600.1-p1              0  0 i
PF3D7_1225900.1-p1              1  0 i15-32o
PF3D7_1226000.1-p1              0  0 i
PF3D7_1226200.1-p1              0  0 i
PF3D7_1227000.1-p1              0  0 i
PF3D7_1227300.1-p1              3  0 o560-579i1013-1031o1051-1067i
PF3D7_1227400.1-p1              1  0 i748-765o
PF3D7_1228200.1-p1              3  0 o702-720i740-761o781-797i
PF3D7_1228400.1-p1              0  0 i
PF3D7_1228700.1-p1              2  0 o6-27i400-419o
PF3D7_1228900.1-p1              0  0 i
PF3D7_1229600.1-p1              1  0 o6-23i
PF3D7_1231000.1-p1              0  0 i
PF3D7_1231200.1-p1              0  0 i
PF3D7_1231300.1-p1              3  0 o442-464i518-536o548-565i
PF3D7_1231700.1-p1              1  0 o15-32i
PF3D7_1232600.1-p1              0  0 i
PF3D7_1232800.1-p1              1  0 o69-91i
PF3D7_1233100.1-p1              0  0 i
PF3D7_1233800.1-p1              0  0 i
PF3D7_1234000.1-p1              1  0 o201-224i
PF3D7_1234500.1-p1              0  0 i
PF3D7_1235100.1-p1              0  0 i
PF3D7_1236300.1-p1              2  0 i122-140o199-216i
PF3D7_1236400.1-p1              0  Y n6-16c21/22o
PF3D7_1236500.1-p1              0  0 i
PF3D7_1236650.1-p1              0  0 i
PF3D7_1236900.1-p1              0  0 i
PF3D7_1237100.1-p1              4  0 o665-686i707-724o1857-1874i2406-2428o
PF3D7_1237200.1-p1              6  0 o225-244i275-293o299-320i346-364o922-943i1067-1086o
PF3D7_1237300.1-p1              0  0 i
PF3D7_1237500.1-p1              0  0 i
PF3D7_1237700.1-p1              5  0 i12-30o42-63i104-124o130-149i188-209o
PF3D7_1237900.1-p1              1  0 i7-25o
PF3D7_1238200.1-p1              0  0 i
PF3D7_1238500.1-p1              0  0 i
PF3D7_1239400.1-p1              0  Y n7-17c26/27o
PF3D7_1239800.1-p1              1  0 o5680-5701i
PF3D7_1241500.1-p1              0  0 i
PF3D7_1242100.1-p1              0  0 i
PF3D7_1242500.1-p1              0  0 i
PF3D7_1243300.1-p1              0  0 i
PF3D7_1243400.1-p1              0  0 i
PF3D7_1244700.1-p1              0  0 i
PF3D7_1244900.1-p1              4  0 o434-450i471-489o509-528i639-660o
PF3D7_1245500.1-p1              0  0 i
PF3D7_1246000.1-p1              2  0 i7-24o446-470i
PF3D7_1246700.1-p1              1  0 i99-117o
PF3D7_1247100.1-p1              0  0 i
PF3D7_1247200.1-p1              0  0 i
PF3D7_1247700.1-p1              0  0 i
PF3D7_1248300.1-p1              3  0 o6-24i45-65o100-124i
PF3D7_1248400.1-p1              0  0 i
PF3D7_1248600.1-p1              2  0 i7-25o710-731i
PF3D7_1248700.1-p1              0  0 i
PF3D7_1248800.1-p1              0  0 i
PF3D7_1249200.1-p1              0  0 i
PF3D7_1249400.1-p1              0  0 i
PF3D7_1249700.1-p1              0  0 i
PF3D7_1250400.1-p1              0  0 i
PF3D7_1250900.1-p1              0  0 i
PF3D7_1251100.1-p1              2  0 i67-87o99-122i
PF3D7_1251400.1-p1              1  0 o427-450i
PF3D7_1251600.1-p1              0  0 i
PF3D7_1251800.1-p1              0  0 i
PF3D7_1252300.1-p1              1  0 o51-68i
PF3D7_1302400.1-p1              4  0 i21-44o56-76i88-111o123-156i
PF3D7_1302900.1-p1              1  0 o650-670i
PF3D7_1303300.1-p1              0  0 i
PF3D7_1303600.1-p1              1  0 o45-62i
PF3D7_1303800.1-p1             12  0 o545-562i640-657o684-706i879-899o1339-1362i1491-1509o1529-1555i3053-3071o4277-4301i4753-4771o4863-4880i4910-4930o
PF3D7_1304300.1-p1              0  Y n7-14c18/19o
PF3D7_1304600.1-p1              1  0 i7-25o
PF3D7_1305700.1-p1              0  Y n5-13c18/19o
PF3D7_1305800.1-p1              0  0 i
PF3D7_1305900.1-p1              0  0 i
PF3D7_1306000.1-p1              4  0 o956-975i996-1017o1261-1278i1290-1316o
PF3D7_1306100.1-p1              0  0 i
PF3D7_1306200.1-p1              0  Y n3-15c20/21o
PF3D7_1306700.1-p1              0  0 i
PF3D7_1307400.1-p1              0  0 i
PF3D7_1307500.1-p1              0  0 i
PF3D7_1308400.1-p1              9  0 o1877-1897i2450-2471o2524-2544i2907-2928o2948-2966i3161-3180o4669-4691i4768-4789o5713-5734i
PF3D7_1308500.1-p1              0  0 i
PF3D7_1308600.1-p1              0  0 i
PF3D7_1308700.1-p1              0  0 i
PF3D7_1309000.1-p1              0  0 i
PF3D7_1310100.1-p1              2  0 o319-336i591-611o
PF3D7_1310200.1-p1              2  0 i7-25o107-132i
PF3D7_1310400.1-p1              1  0 i739-759o
PF3D7_1311600.1-p1              0  0 i
PF3D7_1312200.1-p1              0  0 i
PF3D7_1312500.1-p1              0  0 i
PF3D7_1312700.1-p1              0  0 i
PF3D7_1313100.1-p1              1  0 i1101-1118o
PF3D7_1314000.1-p1              1  0 o898-920i
PF3D7_1314100.1-p1              2  0 o249-271i408-427o
PF3D7_1314400.1-p1              0  0 i
PF3D7_1315000.1-p1              3  0 i99-118o130-149i169-197o
PF3D7_1315300.1-p1              0  0 i
PF3D7_1315500.1-p1              2  0 o115-135i147-171o
PF3D7_1316300.1-p1              0  Y n4-12c17/18o
PF3D7_1316700.1-p1              0  Y n5-16c24/25o
PF3D7_1316900.1-p1              0  0 i
PF3D7_1317500.1-p1              1  0 i23-45o
PF3D7_1317600.1-p1              0  0 i
PF3D7_1317700.1-p1              0  0 i
PF3D7_1318000.1-p1              4  0 o12-31i43-66o72-96i123-145o
PF3D7_1318300.1-p1              0  0 i
PF3D7_1318500.1-p1              0  0 i
PF3D7_1318900.1-p1              0  0 i
PF3D7_1319000.1-p1              0  0 i
PF3D7_1319400.1-p1              0  0 i
PF3D7_1319500.1-p1              0  0 i
PF3D7_1319800.1-p1              1  0 i65-83o
PF3D7_1319900.1-p1              0  Y n6-17c24/25o
PF3D7_1320300.1-p1              1  0 o343-361i
PF3D7_1320700.1-p1              0  0 i
PF3D7_1321000.1-p1              0  0 i
PF3D7_1321900.1-p1              0  Y n6-17c21/22o
PF3D7_1322400.1-p1              0  0 i
PF3D7_1322600.1-p1              0  0 i
PF3D7_1322700.1-p1              0  0 i
PF3D7_1323600.1-p1              1  0 o6-27i
PF3D7_1324000.1-p1              1  0 o1293-1313i
PF3D7_1324600.1-p1              4  0 o1468-1489i1510-1535o1541-1557i1633-1658o
PF3D7_1325300.1-p1              0  0 i
PF3D7_1325700.1-p1              1  0 i58-77o
PF3D7_1325800.1-p1              0  0 i
PF3D7_1325900.1-p1              1  0 o2585-2604i
PF3D7_1326200.1-p1              0  0 i
PF3D7_1326500.1-p1              1  0 o2087-2111i
PF3D7_1326600.1-p1              4  0 o1666-1683i1723-1742o2378-2400i3311-3332o
PF3D7_1327000.1-p1              3  0 o1080-1098i1110-1129o1149-1173i
PF3D7_1327100.1-p1              1  0 o6-28i
PF3D7_1327400.1-p1              0  0 i
PF3D7_1327500.1-p1              0  0 i
PF3D7_1327900.1-p1              0  0 i
PF3D7_1328000.1-p1              0  0 i
PF3D7_1328300.1-p1              2  0 i129-151o220-245i
PF3D7_1328400.1-p1              2  0 i401-424o463-488i
PF3D7_1328600.1-p1              0  0 i
PF3D7_1329200.1-p1              0  0 i
PF3D7_1329500.1-p1              0  0 i
PF3D7_1329600.1-p1              0  0 i
PF3D7_1329800.1-p1              2  0 o1094-1116i1137-1154o
PF3D7_1329900.1-p1              2  0 i104-121o127-145i
PF3D7_1330100.1-p1              1  0 o6-26i
PF3D7_1330200.1-p1              1  0 o6-23i
PF3D7_1331200.1-p1              0  0 i
PF3D7_1332100.1-p1             11  0 i9-29o35-52i64-84o128-153i168-188o200-219i308-330o358-377i398-420o432-454i496-516o
PF3D7_1332200.1-p1              0  0 i
PF3D7_1333100.1-p1              1  0 o706-723i
PF3D7_1333500.1-p1              0  0 i
PF3D7_1333900.1-p1              2  0 o261-280i973-993o
PF3D7_1335800.1-p1              0  0 i
PF3D7_1336000.1-p1              0  0 i
PF3D7_1336200.1-p1              0  0 i
PF3D7_1336600.1-p1              0  0 i
PF3D7_1337500.1-p1              0  0 i
PF3D7_1337900.1-p1              0  0 i
PF3D7_1338500.1-p1              0  0 i
PF3D7_1338600.1-p1              0  Y n16-28c33/34o
PF3D7_1338700.1-p1              0  0 i
PF3D7_1339000.1-p1              0  0 i
PF3D7_1339300.1-p1              0  0 i
PF3D7_1339600.1-p1              4  0 i52-72o479-501i522-539o551-571i
PF3D7_1339700.1-p1              0  0 i
PF3D7_1340200.1-p1              0  Y n2-12c17/18o
PF3D7_1341700.1-p1              1  0 i86-104o
PF3D7_1343100.1-p1              0  0 i
PF3D7_1343500.1-p1              0  Y n10-20c25/26o
PF3D7_1344400.1-p1              0  0 i
PF3D7_1344700.1-p1              0  0 i
PF3D7_1344900.1-p1              0  0 i
PF3D7_1345400.1-p1              0  0 i
PF3D7_1345800.1-p1              0  0 i
PF3D7_1346500.1-p1              0  0 i
PF3D7_1346900.1-p1              0  0 i
PF3D7_1347400.1-p1              2  0 i65-88o100-120i
PF3D7_1347600.1-p1              1  0 o6-26i
PF3D7_1347900.1-p1              0  0 i
PF3D7_1348000.1-p1              2  0 o477-496i612-630o
PF3D7_1348600.1-p1              0  0 i
PF3D7_1348900.1-p1              0  0 i
PF3D7_1349000.1-p1              0  0 i
PF3D7_1349500.1-p1              5  0 o1222-1242i1545-1572o1592-1612i1702-1721o3253-3275i
PF3D7_1349900.1-p1              1  0 o6-22i
PF3D7_1350000.1-p1              0  0 i
PF3D7_1350300.1-p1              0  0 i
PF3D7_1350500.1-p1              1  0 i9-31o
PF3D7_1350600.1-p1              2  0 o6-26i198-218o
PF3D7_1350800.1-p1              0  0 i
PF3D7_1351200.1-p1              1  Y n3-14c22/23o1470-1491i
PF3D7_1351800.1-p1              0  Y n3-12c17/18o
PF3D7_1351800.2-p1              0  Y n3-12c17/18o
PF3D7_1351900.1-p1              0  0 i
PF3D7_1352300.1-p1              0  0 i
PF3D7_1353300.1-p1              4  0 o6-30i51-71o772-791i1890-1913o
PF3D7_1354000.1-p1              0  0 i
PF3D7_1354100.1-p1              0  0 i
PF3D7_1354700.1-p1              0  0 i
PF3D7_1354900.1-p1              0  0 i
PF3D7_1356000.1-p1              0  0 i
PF3D7_1356100.1-p1              0  0 i
PF3D7_1356500.1-p1              3  0 o36-61i68-91o103-129i
PF3D7_1357400.1-p1              0  0 i
PF3D7_1358200.1-p1              7  0 i503-522o528-544i696-717o1042-1060i1086-1107o1113-1131i1138-1154o
PF3D7_1358400.1-p1              2  0 i74-93o99-117i
PF3D7_1359000.1-p1             13  0 i210-228o248-271i557-574o913-932i1155-1171o1177-1197i1392-1415o1421-1439i1630-1648o1995-2012i2024-2050o3171-3193i3214-3231o
PF3D7_1359500.1-p1              0  0 i
PF3D7_1359600.1-p1              0  0 i
PF3D7_1359700.1-p1              1  0 i395-416o
PF3D7_1360300.1-p1              3  0 o12-28i222-243o343-362i
PF3D7_1360400.1-p1              0  0 i
PF3D7_1361200.1-p1              0  0 i
PF3D7_1361300.1-p1              4  0 i21-45o65-87i108-129o149-168i
PF3D7_1362600.1-p1              0  0 i
PF3D7_1362700.1-p1              0  0 i
PF3D7_1362800.1-p1              8  0 o921-944i1094-1119o1125-1141i1148-1165o1531-1552i1817-1834o1866-1884i1987-2005o
PF3D7_1362900.1-p1              0  0 i
PF3D7_1363000.1-p1              5  0 o507-524i678-696o736-756i768-786o1056-1074i
PF3D7_1363100.1-p1              1  0 o888-905i
PF3D7_1363600.1-p1              0  0 i
PF3D7_1364000.1-p1              0  0 i
PF3D7_1364400.1-p1              6  0 i577-595o1679-1705i1846-1863o2443-2463i2751-2769o3057-3075i
PF3D7_1365000.1-p1              0  0 i
PF3D7_1365200.1-p1              1  0 i21-42o
PF3D7_1365300.1-p1              0  0 i
PF3D7_1365800.1-p1              0  0 i
PF3D7_1366000.1-p1              0  0 i
PF3D7_1366200.1-p1              0  Y n10-21c29/30o
PF3D7_1366300.1-p1             10  0 o1169-1186i1267-1285o1780-1801i1822-1838o1858-1876i1888-1908o1928-1950i2844-2863o2875-2897i3199-3218o
PF3D7_1366700.1-p1              1  0 o280-299i
PF3D7_1366900.1-p1              0  0 i
PF3D7_1367300.1-p1              0  Y n4-15c20/21o
PF3D7_1367400.1-p1              0  0 i
PF3D7_1367900.1-p1              1  0 i5-24o
PF3D7_1368000.1-p1              0  Y n6-17c24/25o
PF3D7_1368900.1-p1              0  0 i
PF3D7_1369100.1-p1              0  0 i
PF3D7_1369200.1-p1              2  0 o583-605i617-643o
PF3D7_1369300.1-p1              0  0 i
PF3D7_1369400.1-p1              7  0 i273-292o326-346i816-837o849-867i1260-1278o2387-2405i2520-2544o
PF3D7_1369600.1-p1              0  Y n3-14c22/23o
PF3D7_1401700.1-p1              0  0 i
PF3D7_1401900.1-p1              0  0 i
PF3D7_1402800.1-p1              1  0 i636-655o
PF3D7_1402900.1-p1              1  0 o857-880i
PF3D7_1404200.1-p1              0  0 i
PF3D7_1404800.1-p1              0  Y n11-24c35/36o
PF3D7_1404900.1-p1              1  0 o6-22i
PF3D7_1405000.1-p1              1  0 o377-399i
PF3D7_1405300.1-p1              1  0 i175-192o
PF3D7_1407200.1-p1              1  0 i260-281o
PF3D7_1407400.1-p1              0  0 i
PF3D7_1407600.1-p1              0  0 i
PF3D7_1407700.1-p1              0  0 i
PF3D7_1408300.1-p1              1  0 o98-121i
PF3D7_1408500.1-p1              0  0 i
PF3D7_1408700.1-p1              8  0 o1308-1328i1517-1533o3558-3576i3588-3606o3612-3629i4323-4350o5325-5345i5640-5659o
PF3D7_1408800.1-p1              0  0 i
PF3D7_1409200.1-p1              0  0 i
PF3D7_1409200.2-p1              0  0 i
PF3D7_1409400.1-p1              4  0 i47-65o71-94i114-137o149-170i
PF3D7_1409500.1-p1              0  0 i
PF3D7_1409700.1-p1              0  0 i
PF3D7_1410500.1-p1              0  0 i
PF3D7_1410700.1-p1              0  Y n4-14c19/20o
PF3D7_1411000.1-p1             11  0 o1052-1071i1092-1112o1140-1162i1174-1192o1694-1713i1725-1742o1748-1765i1833-1858o1878-1900i1920-1938o2036-2053i
PF3D7_1411000.2-p1              8  0 o1052-1071i1092-1112o1140-1162i1174-1192o1694-1713i1725-1742o1748-1765i2013-2030o
PF3D7_1411500.1-p1              0  0 i
PF3D7_1411800.1-p1              1  0 o6-32i
PF3D7_1412400.1-p1              4  0 o599-617i1223-1240o1246-1265i1427-1445o
PF3D7_1413000.1-p1              0  0 i
PF3D7_1413100.1-p1              3  0 o418-439i491-514o543-562i
PF3D7_1413200.1-p1              0  0 i
PF3D7_1413300.1-p1              1  0 o32-55i
PF3D7_1413600.1-p1              0  0 i
PF3D7_1414200.1-p1              0  0 i
PF3D7_1415100.1-p1              1  0 o442-462i
PF3D7_1415600.1-p1              2  0 o1083-1116i1128-1149o
PF3D7_1416000.1-p1              3  0 o6-23i113-136o148-169i
PF3D7_1416400.1-p1              0  0 i
PF3D7_1416600.1-p1              0  0 i
PF3D7_1416700.1-p1              0  Y n6-17c25/26o
PF3D7_1417100.1-p1              0  0 i
PF3D7_1417700.1-p1              0  0 i
PF3D7_1418200.1-p1              0  0 i
PF3D7_1419000.1-p1              0  0 i
PF3D7_1419500.1-p1              0  0 i
PF3D7_1419600.1-p1              0  0 i
PF3D7_1420100.1-p1              0  0 i
PF3D7_1421100.1-p1              2  0 o223-239i310-329o
PF3D7_1421300.1-p1              1  0 o837-857i
PF3D7_1421600.1-p1              0  0 i
PF3D7_1421800.1-p1              0  0 i
